63.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: ContrContractDataLoadService dataLoadService = new ContrContractDataLoadService('70274836_L1');
Execute Anonymous: dataLoadService.initiateLoad();
12:58:12.0 (344188)|USER_INFO|[EXTERNAL]|005cr0000007nip|sophia.shaw47@t-mobile.com.gov.gove2ebs|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
12:58:12.0 (364945)|EXECUTION_STARTED
12:58:12.0 (384732)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
12:58:12.0 (32362425)|VARIABLE_SCOPE_BEGIN|[70]|ContrContractDataLoadService.CONSTERROR_ACCOUNT_ID|String|false|true
12:58:12.0 (32380311)|VARIABLE_SCOPE_BEGIN|[35]|ContrContractDataLoadService.CONSTERROR_BILLINGACCOUNT|String|false|true
12:58:12.0 (32385602)|VARIABLE_SCOPE_BEGIN|[36]|ContrContractDataLoadService.CONSTERROR_BUSINESSACCOUNT|String|false|true
12:58:12.0 (32390857)|VARIABLE_SCOPE_BEGIN|[39]|ContrContractDataLoadService.CONSTERROR_INCREMENT|String|false|true
12:58:12.0 (32395820)|VARIABLE_SCOPE_BEGIN|[38]|ContrContractDataLoadService.CONSTERROR_QLICOUNT|String|false|true
12:58:12.0 (32400960)|VARIABLE_SCOPE_BEGIN|[71]|ContrContractDataLoadService.CONSTERROR_QUOTE_ID|String|false|true
12:58:12.0 (32405884)|VARIABLE_SCOPE_BEGIN|[37]|ContrContractDataLoadService.CONSTERROR_SEQUENCE|String|false|true
12:58:12.0 (32410248)|VARIABLE_SCOPE_BEGIN|[66]|ContrContractDataLoadService.CONST_ALTER_CART_PRICE|String|false|true
12:58:12.0 (32415028)|VARIABLE_SCOPE_BEGIN|[50]|ContrContractDataLoadService.CONST_API_COLLECTION|String|false|true
12:58:12.0 (32419320)|VARIABLE_SCOPE_BEGIN|[49]|ContrContractDataLoadService.CONST_COLLECTION_GRANDPARENT_LOAD|String|false|true
12:58:12.0 (32423797)|VARIABLE_SCOPE_BEGIN|[60]|ContrContractDataLoadService.CONST_CONTEXT_ID|String|false|true
12:58:12.0 (32428471)|VARIABLE_SCOPE_BEGIN|[53]|ContrContractDataLoadService.CONST_FIELD_API_STATUS|String|false|true
12:58:12.0 (32432732)|VARIABLE_SCOPE_BEGIN|[54]|ContrContractDataLoadService.CONST_FIELD_CALLOUT_STATUS|String|false|true
12:58:12.0 (32437246)|VARIABLE_SCOPE_BEGIN|[77]|ContrContractDataLoadService.CONST_HTTP_CODE|String|false|true
